排名,标题,热度,回答链接,回答数,关注数,浏览数,时间
1,如何看待澳大利亚总理莫里森表态：希望中澳两国「愉快共存」？,20530000,https://www.zhihu.com/question/433177100,358,1080,1080,2020-12-04
2,怎么看待中国量子计算原型机九章的问世？,14290000,https://www.zhihu.com/question/433237716,147,1030,1030,2020-12-04
3,嫦娥五号上升器从月面点火入轨，实现我国首次地外天体起飞，意味着什么？技术难度有多大？,11380000,https://www.zhihu.com/question/433227075,124,995,995,2020-12-04
4,为什么奶茶店这么暴利，但是各种加盟店接二连三的倒闭关门呢？,7780000,https://www.zhihu.com/question/406951584,575,3955,3955,2020-12-04
5,如何看待离婚冷静期实施条款规定「冷静期后 30 日内一方不去领证视为不离」？,7460000,https://www.zhihu.com/question/433131078,1602,4200,4200,2020-12-04
6,中国 GDP 前十城市排行榜发布，北方仅一座城市在内，如何评价此排行榜？,7140000,https://www.zhihu.com/question/432834546,511,3706,3706,2020-12-04
7,实验室里，一个癌细胞不断给它供应养分，无限生长，80 年后，会长多大，成什么样子？,4880000,https://www.zhihu.com/question/429751120,33,408,408,2020-12-04
8,德国柏林将永久设置慰安妇少女像，日官房长官对此决议表遗憾，你怎么看？,4690000,https://www.zhihu.com/question/433088088,139,554,554,2020-12-04
9,美媒曝特朗普政府发布中共党员及其直系亲属赴美旅行新规，将签证有效期缩短至一个月，对此你怎么看？,4640000,https://www.zhihu.com/question/433179089,289,982,982,2020-12-04
11,女子小区被偷拍「出轨快递小哥」后抑郁，编造者拒赔偿称「只是闹着玩」，你怎么看？,4390000,https://www.zhihu.com/question/433135903,335,1511,1511,2020-12-04
12,如何看待奶茶店女老板开色情直播还房租？,4260000,https://www.zhihu.com/question/432986590,1812,10113,10113,2020-12-04
13,安东尼・戴维斯五年 1.9 亿美元顶薪续约湖人，你有什么想说的？,4000000,https://www.zhihu.com/question/433196735,93,288,288,2020-12-04
14,有哪些好看的冬天穿搭（女生）？,3480000,https://www.zhihu.com/question/351887044,213,6380,6380,2020-12-04
16,如何看待 957 爆料厂长即将复出？,2830000,https://www.zhihu.com/question/433131341,55,189,189,2020-12-04
17,美国声称在「打击技术盗窃」的努力下，已有 1000 多名中国研究人员离开美国，你怎么看？会有哪些影响？,2670000,https://www.zhihu.com/question/433160172,46,151,151,2020-12-04
18,如何看待「康巴汉子」丁真直播宣传理塘旅游？川西旅游会被丁真带火吗？,2390000,https://www.zhihu.com/question/433198215,177,254,254,2020-12-04
19,为什么丁真在直播间和在生活中总是笑得那么开心？普通人怎么才能让自己保持开心？,2300000,https://www.zhihu.com/question/433217120,184,285,285,2020-12-04
20,现在 4999 的 128g iPhone11 值得买吗？,2200000,https://www.zhihu.com/question/422543012,243,450,450,2020-12-04
21,长沙湘雅医院有多牛？,1670000,https://www.zhihu.com/question/277783550,197,1426,1426,2020-12-04
22,为什么我觉得上大学之后的生活还不如我的高中生活呢，为什么我觉得大学并不是很美好的呢？,1590000,https://www.zhihu.com/question/305347994,290,502,502,2020-12-04
23,据说白蛋白作用不大，为什么临终病人，医生常常让病人自费去买啊?,1530000,https://www.zhihu.com/question/428134186,101,293,293,2020-12-04
24,澳大利亚前总理陆克文建议澳政府在对华关系上向日本学习，对此你怎么看？,1430000,https://www.zhihu.com/question/433140811,154,561,561,2020-12-04
25,把宝宝带到一岁以后交由孩子奶奶抚养，等三岁再接回妈妈身边带，对宝宝心理会有什么影响么？,1250000,https://www.zhihu.com/question/430229880,128,270,270,2020-12-04
26,国产零食中便宜又好吃的有哪些？,1210000,https://www.zhihu.com/question/54935877,617,24272,24272,2020-12-04
27,"脂肪 84% 是随呼吸排出, 那么有氧运动越强烈, 呼吸越快速, 脂肪排出就更多?",1100000,https://www.zhihu.com/question/63066601,28,309,309,2020-12-04
28,英特尔十一代酷睿强调不插电下的性能，你觉得方向对吗？,1050000,https://www.zhihu.com/question/433001422,39,94,94,2020-12-04
29,大学中最没必要做的事情是什么？,1010000,https://www.zhihu.com/question/23373520,1392,17409,17409,2020-12-04
30,如何看待女子离职从事同行业被前老板殴打？商业竞争应如何定义和规范？,880000,https://www.zhihu.com/question/433157157,69,304,304,2020-12-04
31,买眼部按摩仪是否在交智商税？,720000,https://www.zhihu.com/question/301054423,37,168,168,2020-12-04
32,和一个自私的人谈恋爱是什么结果？,660000,https://www.zhihu.com/question/324726603,161,703,703,2020-12-04
33,如何看待《幸福三重奏》第三季第六期中奚梦瑶提到自己有点产后抑郁？,660000,https://www.zhihu.com/question/433191587,31,34,34,2020-12-04
34,换工作频繁是一件好事吗？,610000,https://www.zhihu.com/question/427420299,198,364,364,2020-12-04
35,如何系统学习 PPT 的制作？,610000,https://www.zhihu.com/question/31562630,32,2328,2328,2020-12-04
36,焦虑的本质是什么？,590000,https://www.zhihu.com/question/320535511,301,2538,2538,2020-12-04
37,女朋友来大姨妈男朋友该怎么办？,590000,https://www.zhihu.com/question/266168336,151,992,992,2020-12-04
38,京沪高铁启动动态票价，南京至北京二等座最低 401 元最高 482 元，对此你怎么看？,590000,https://www.zhihu.com/question/432218091,72,342,342,2020-12-04
39,女子 23 年前分配工作至今未有通知，「单位」仲裁解除劳动关系 ，你怎么看？,580000,https://www.zhihu.com/question/432968556,57,367,367,2020-12-04
40,茶颜悦色排队八小时、一杯一百五，仍然有这么多人愿意付出远超奶茶本身价值的时间或金钱，这是什么心理？,570000,https://www.zhihu.com/question/432808267,946,2746,2746,2020-12-04
41,你是因为什么还单身？,560000,https://www.zhihu.com/question/337343058,3221,8540,8540,2020-12-04
42,去黑龙江哈尔滨的「哈尔滨冰雪大世界」有哪些实用的攻略和好的建议？,550000,https://www.zhihu.com/question/337570840,90,248,248,2020-12-04
43,2000 元能去哪些国家旅游？,550000,https://www.zhihu.com/question/314156798,806,36065,36065,2020-12-04
44,手机屏幕做到多大是极限？,530000,https://www.zhihu.com/question/433119824,178,663,663,2020-12-04
45,名校大学生去做网红是一种人才浪费吗？,530000,https://www.zhihu.com/question/432953578,124,260,260,2020-12-04
46,如何评价特朗普发表「有史以来最重要的讲话」：如果对选举欺诈的指控是对的，拜登当不了总统？,530000,https://www.zhihu.com/question/433102893,66,312,312,2020-12-04
47,在游戏《英雄联盟》中，是否应该将人头让给前来 Gank 的打野？为什么？,520000,https://www.zhihu.com/question/322084074,63,80,80,2020-12-04
48,如何看待阿里拼多多美团等纷纷加入社区团购烧钱大战，有平台低至 1 分钱买菜？消费者能「薅多久羊毛」？,510000,https://www.zhihu.com/question/432996909,268,2100,2100,2020-12-04
49,一对哑铃你最后练成了什么样子？,490000,https://www.zhihu.com/question/378688672,57,677,677,2020-12-04
50,如何评价漫画《电锯人》第 96 话？,490000,https://www.zhihu.com/question/433013328,25,58,58,2020-12-04
